Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
all,he's,I'd,,,youll,she,,it's,,arent,being,brought,ask,must'nt,clearly,away,or,doesn't,bunch,infinit*,cock,anyone*,exwive*,exboyfriend*,child,ador*,agreeab*,alarm*,steal*,assault*,damag*,add,analy*,boss*,hopefulness,appear,commit,blocked,into,unless,blond*,click*,hears,feels,drows*,arses,antacid*,chlamydia,booz*,headed,arriving,below,ago,apprentic*,approv*,bands,broom*,beggar*,belief*,cremat*,heh*,,
allot,him,I'll,,,you'll,she'd,,itself,,aren't,can,called,asks,mustn't,completely,before,otherwise,dont,cetera,million*,cocks*,apolog*,families*,exgf*,children*,advantag*,agreed,alone,stench*,asshole*,defeat*,addit*,answer*,caus*,hopes,appeared,commitment*,blocker*,open,versus,blue*,color*,hush*,felt,drs,arter*,antidepressant*,cock,bread,heading,attend,bend,ahead,assign*,attain*,bar,carpet*,begging,bible*,crypt*,hm*,,
along,himself,Im,,,your ,she'll,,nobod*,,arrive,cannot,came,become,mustve,constantly,behind,plus,don't,couple,nine*,crap,argu*,family,exgirl*,child's,adventur*,agreeing,anger*,stink*,attack*,depress*,adjust*,appreciat*,change,hoping,appearing,commits,blocking,out,vs,boom*,colour*,inaudibl*,finger*,drug*,asleep,appendic*,cocks*,breakfast*,height*,attended,bending,already,assistan*,attempt*,bars,chore*,bet,biblic*,dead,huh,,
alot,his,I'm,,,youre,shes,,other,,arrived,cant,cared,becomes,must've,definitely,below,so,hadnt,difference*,once,crappy,armies,father*,fellow*,citizen,advers*,agreement*,angr*,strain*,bastard*,depriv*,admit,assum*,changed,ideal*,appears,committ*,blocks,plus,whether,bright*,column*,listen,fire,drunk*,ass,arthr*,condom,brunch*,high,attending,bends,always,associat*,authorit*,baseball*,clean*,bets,bishop*,death*,lol,,
also,i,ive,,,you're,she's,,others,,arrives,can't,carried,begin,ought,especially,beneath,then,hadn't,doubl*,one,cunt*,army,folks,fiance*,citizen'*,affection*,agrees,anguish*,strange,battl*,despair*,admits,attent*,changes,if,approximat*,complete,bound*,we,without,brown*,cream,listened,flexib*,dx,asses,aspirin*,condoms,bulimi*,highe*,attends,beneath,ancient*,auditorium*,award*,basketball*,closet,betting,bless*,decease*,mm*,,
although,Id,I've,,,yours,,,somebod*,,ask,could,caught,begins,oughta,even,beside,tho,hasnt,each,quarter*,damn*,ask,grandchil*,friend*,citizens,afraid,alright*,annoy*,stress*,beaten,devastat*,admitted,aware*,changing,impossib*,arbitrar*,completed,brake*,with,,brush*,eye*,listener*,fragil*,dyke*,bald,asthma*,cuddl*,cafeteria*,hik*,behavio*,bent,annual*,award*,beat,bath*,closets,bill,buddh*,demise,ok,,
am,I'd,lets,,,youve,,,someone*,,asked,couldnt,changed,believe,oughtnt,eventually,besides,though,hasn't,either,second,dang,asked,granddad*,gf*,female*,aggravat*,amaz*,antagoni*,struggl*,bitch*,disadvantage*,admitting,became,compel*,inadequa*,assum*,completely,bridle*,,,butter*,eying,listening,freez*,ear,bellies,bandage*,dick,candie*,histor*,brief*,beside,anymore,beaten,beaten,beach*,condo,billed,catholic*,die,okay,,
among*,I'll,let's,,,you've,,,something*,,asks,couldn't,couldve,believes,ought'nt,ever,between,til,havent,else,seven*,darn,asking,granddau*,girlfriend*,gentlem*,aggress*,amor*,anxi*,stubborn*,bitter*,disappoint*,affect,become,compliance,lack*,barely,completes,careful*,,,candle*,gaz*,listens,froze*,ears,belly,bandaid,dicks,candy,horizontal*,bring,beyond,anytime,benefits,best,beer*,condominium*,billing*,chapel*,died,okey*,,
an,Im,me,,,,,,somewhere,,ate,couldve,could've,bring,oughtn't,frequently,beyond,till,haven't,enough,six*,dick,asks,grandf*,guest*,girl,agitat*,amus*,apath*,stunk,blam*,discourag*,affected,becomes,complie*,liabilit*,bet,confidence,caut*,,,caramel*,glanc*,loud*,fuzz*,eat,bicep*,binge*,dyke*,chew*,hour*,bringing,big,april,biolog*,better,bicyc*,condos,bills,chaplain*,dies,rofl,,
and,I'm,mine,,,,,,stuff,,be,could've,cried,brings,oughtve,generally,by,unless,isnt,entire*,ten,dicks,assembl*,grandkid*,honey,girl's,agoniz*,aok,appall*,stunned,bother*,dishearten*,affecting,becoming,comply*,mistak*,bets,confident,cease*,,,caress*,glow*,musi*,grab*,eaten,bladder*,binging,erectile,chow*,huge*,brings,bigger,august,biz,bonus*,bike*,couch*,bonus*,christ,DOA,uhhu*,,
