Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
best ,thatd,yall,,,,,,,,couldn't,isn't,happened,go,,there's,wanna,,wouldn't,none,,,chicks,stepchild*,,sir,aversi*,charit*,crappy,tortur*,feud*,miss,assur*,determined,infer,undesire*,hypothetic*,must,ignor*,,,finger*,sight*,,smooth*,foot,faces,diarr*,makeout*,food*,late,drives,encompass*,delay*,conglom*,excel*,dj*,maid*,discount*,jewish*,reaper*,,,
between,that'd,y'all,,,,,,,,couldve,itd,hated,goes,,tho,with,,,ones,,,child,stepfat*,,societ*,avoid*,charm*,craz*,tough*,fiery,missed,attent*,determines,inferr*,undo,if,mustnt,inhib*,,,fire,squar*,,soft*,forearm*,facial*,digest*,naked,fries,lately,driving,enorm*,due,consult*,fail*,drama,mailbox,dividend*,jews,slaughter*,,,
beyond,thatll,ye,,,,,,,,could've,it'd,heard,guess,,though,within,,,own,,,children*,stepkid*,,woman,award*,cheer*,cried,traged*,fight*,misses,attribut*,determining,infers,unneccess*,incomplet*,must'nt,interfer*,,,fizz*,stare*,,squeez*,forehead*,fat,disease*,nipple*,fruit*,later,drove,entrance*,during,consumer*,finaliz*,dream*,mattress*,dollar*,jihad*,suicid*,,,
billion*,that'll,you,,,,,,,,cried,itll,held,guesses,,too,without,,,page,,,child's,stepmot*,,woman's,awesome,cherish*,cries,tragic* ,foe*,missing,avert*,differentiat*,influenc*,unneed*,indecis*,mustn't,keep,,,flavor*,staring,,stroke*,foreplay,fatt*,dizz*,nude*,fry*,latest,enter,environment*,earli*,contracts,first,drink*,microwave*,donat*,juda*,tomb*,,,
both,thats,youd,,,,,,,,depended,it'll,helped,happen,,totally,,,,part,,,citizen,uncle,,women*,awful,chuckl*,critical,trauma*,fought,mourn*,avoid*,discern*,intend*,unwant*,indefinit*,mustve,keeping*,,,flavour*,sunli*,,stroki*,fries,feet,doctor*,orgasm*,glutton*,lead*,entered,everywhere,early,corp ,firsts,drum,mop,econ*,karma,urn*,,,
bunch,that's,you'd,,,,,,,,depends,it's,hoped,happens,,truly,,,,partly,,,citizen'*,uncles,,,awkward*,clever*,critici*,trembl*,frustrat*,neglect*,aware*,disclo*,intent*,wanna,indetermin*,must've,keeps,,,flexib*,sunshin*,,thick*,fruit*,finger*,dosage,orgies,gobble*,leave,entering,exit*,end,corporat*,founded,drumm*,mortg*,embezzl*,kippur,war,,,
but,thee,youll,,,,,,,,describe,ive,kept,has,,usually,,,,percent,,,citizens,uncle's,,,bad,comed*,crude*,trick*,fuck,overwhelm*,ban,discover*,justif*,want,indirect*,necessar*,kept,,,fragil*,triang*,,thin,fry*,flesh*,dose*,orgy,gobbling,leaves,enters,exterior*,ended,corps,founder*,drums,neighbor*,euro,koran ,,,,
by,their*,you'll,,,,,,,,described,I've,knew,hasnt,,very,,,,piec*,,,colleague*,wife*,,,bashful*,comfort*,cruel*,trite,fucked*,pathetic*,banned,distinguish*,launch*,wanted,kind (of),never,limit*,,,fragran*,view,,thinn*,fuck,foot,dosing,ovar*,grocer*,leaving,explor*,far,ending,counc*,founding,drunk*,oven*,euros,kosher,,,,
can,them,your ,,,,,,,,did,let ,lied,hasn't,,well,,,,plenty,,,comment*,wive*,,,bastard*,commitment*,crushed,trivi*,fucker*,pessimis*,banning,effect*,lead*,wanting,kinda,obvious*,neglect*,,,freez*,viewer*,,tight*,fucked*,forearm*,dr,passion*,gulp*,led,fall,farther,ends,couns*,fulfill*,dvd*,patio*,exchang*,krishna*,,,,
cannot,themselves,youre,,,,,,,,didnt,may,liked,hate,,when ,,,,portion,,,commun*,,,,battl*,compassion*,cry,troubl*,fuckin*,piti*,bans,enlighten*,led,wants,kindof,perfect*,obstac*,,,froze*,viewing*,,touch*,fucker*,forehead*,drows*,penis*,helpings,ledge*,fallen,farthest,era,course*,gain*,easy*,pet,expens*,krisna*,,,,
cant,these,you're,,,,,,,,didn't,might,listened,hates,,whenever,,,,remaining,,,companion,,,,beaten,compliment*,crying,turmoil,fucks,pity* ,barely,evaluat*,made,wish,likel*,positiv*,oppos*,,,fruit*,views,,warm*,fuckin*,genital*,drs,perver*,hunger*,ledging,falling,fit,etern*,coworker*,goal*,entertain*,pets,fee,lord*,,,,
can't,they,yours,,,,,,,,died,mightve,lived,have,,where,,,,rest,,,companions,,,,beaut*,confidence,cunt*,ugh,fume*,regret*,barrier*,examin*,make,wished,lot,precis*,prevent*,,,fuzz*,vivid*,,weight,fucks,goosebump*,drug*,porn*,hungr*,left,falls,floor*,eve,credential*,hero*,exercis*,pillow*,fees,lutheran*,,,,
cetera,theyd,youve,,,,,,,,dies,might've,looked,havent,,yet,,,,same,,,companionship*,,,,beloved,confident,cut,ugl*,fuming,reject*,based,explain,maker*,wishes,lotof,proof,prohib*,,,gaz*,watch*,,weighted,gay,gums,dx,pregnan*,ingest*,level,fell,forward*,evening*,credit*,honor*,families*,porch,financ*,mecca,,,,
clearly,they'd,you've,,,,,,,,dislike,must,lost,haven't,,,,,,section,,,compassion*,,,,benefic*,confidently,cynic*,unattractive,furious*,remorse*,bases,explained,makes,wishing,lots ,prove*,protect*,,,glanc*,white*,,weighting,gays,gut,emphysem*,prostat*,kitchen*,levels,fill*,full*,event,cubicle*,honour*,family,remodel*,fortune*,meditat*,,,,
completely,theyll,,,,,,,,,disliked,mustnt,loved,hear,,,,,,segment,,,complain*,,,,benefit,considerate,damag*,uncertain*,fury,resign*,basis,explaining,making,would,lotsa,pure*,prude,,,glow*,whitish*,,weightless*,genital*,guts,enema*,prostitu*,liquor*,littl*,fled,further*,eventually,curricul*,ideal*,fantasi*,renovat*,franc,mercif*,,,,
constantly,they'll,,,,,,,,,dislikes,must'nt,made,hears,,,,,,selection,,,comrad*,,,,benefits,contented*,damn*,uncomfortabl*,goddam*,ruin*,became,explains,manipul*,wouldnt,lotta,sure*,prudes,,,grab*,yellow*,,weightlift*,gland*,hair*,estrogen*,prude,lunch*,local*,flee*,giant*,ever,customer*,importan*,fantasy,rent*,franchis*,mercy,,,,
could,theyve,,,,,,,,,do,mustn't,meant,helps,,,,,,series,,,confess*,,,,benefitt*,contentment,danger*,uncontrol*,greed*,sad,because,explanat*,misle*,wouldn't,luck,total,prudish*,,,gray*,,,weights,glaucoma,hamstring*,exercis*,prudes,meal*,long,flew,gigantic,everyday,cv*,improve*,film*,residen*,francs,methodis*,,,,
couldnt,they've,,,,,,,,,does,mustve,met,heres,,,,,,several,,,confide,,,,benevolen*,convinc*,daze*,uneas*,grouch*,sadde*,become,explor*,motiv*,wouldve,lucked,totally,refrain*,,,greas*,,,wet,glutton*,hand,exhaust*,prudish*,milk*,longe*,flies,ginormous,fade*,deadline*,improving,fishing,room,free,minister*,,,,
couldn't,thine,,,,,,,,,doesnt,must've,missed,here's,,,,,,significant,,,confided,,,,benign*,cool,decay*,unfortunate*,grr*,sadly,becomes,feel,obedien*,would've,lucki*,TRUE,refus*,,,green*,,,wetly,gobble*,hands,faint*,pubic,obes*,longitud*,flow*,global*,fading*,dean*,inadequa*,fitness,roomate*,freeb*,ministr*,,,,
couldve,thing*,,,,,,,,,doesn't,ought,moved,hes,,,,,,simple,,,confides,,,,best,courag*,defeat*,unfriendly,harass*,sadness,becoming,feeling*,obey*,yearn*,luckless*,truest,rein*,,,grey*,,,abdomen*,gobbling,head,farsighted,pussy*,overate,low*,fly,ground*,fast,delegat*,incapab*,flatscreen*,roomed,fund,missionar*,,,,
could've,this,,,,,,,,,doing,oughta,mustve,he's,,,,,,singl*,,,confiding,,,,better,create*,defect*,ungrateful*,hate,sob,belief*,feels,origin,,lucks,truly,reluctan*,,,grip,,,abortion*,gonorrhea,heads,fat,queer*,overeat*,map,flying,hall,faster,demote*,incentive*,football*,roomie*,funded,mitzvah*,,,,
couple,those,,,,,,,,,done,oughtnt,must've,hope,,,,,,some,,,congregat*,,,,bitch*,creati*,defenc*,unhapp*,hated,sobbed,believe,felt,originat*,,lucky,truth*,repress*,,,gripp*,,,abs,goosebump*,heart,fatigu*,rape*,overweight,mapped,follow,height*,fastest,department*,incompeten*,frisbee*,rooming,funding,mohamm*,,,,
cuz,thou,,,,,,,,,dont,ought'nt,needed,hopes,,,,,,somewhat,,,consult*,,,,bitter*,credit*,defens*,unimportant,hateful*,sobbing,believed,figur*,origins,,mainly,unambigu*,requir*,,,grips,,,ache*,grocer*,hearts,fats,raping,pasta*,mapping,followed,high,february,dept,ineffect*,game*,roommate*,funds,monast*,,,,
definitely,thoust,,,,,,,,,don't,oughtn't,owed,hows,,,,,,term,,,contact*,,,,blam*,cute*,degrad*,unimpress*,hater*,sobs,believes,find*,outcome*,,marginal*,undeniab*,reserved,,,hair*,,,aching,gulp*,heel*,fatt*,rapist*,pizza*,maps,following,highe*,final ,desk*,initiat*,gaming,rooms,gambl*,monk*,,,,
despite,thy,,,,,,,,,drank,oughtve,paid,how's,,,,,,ton,,,contradic*,,,,bless*,cutie*,depress*,unkind,hates,solemn*,believing,forgave,permit*,,may,undoubt*,responsib*,,,hand,,,acne,gums,hip,fever*,screw*,restau*,march*,follows,horizontal*,finally,diplom*,irresponsible*,garage*,rug,greed*,moral,,,,
did,us,,,,,,,,,driven,ought've,played,Im,,,,,,tons,,,convers*,,,,bold*,daring,depriv*,unlov*,hating,sorrow*,besides,forgiv*,pick ,,maybe,unquestion*,restrain*,,,handful*,,,addict*,gut,hips,flu,seduc*,salad*,mass,forward*,huge*,finish*,director*,king*,garden*,rugs,income*,morality,,,,
didnt,we,,,,,,,,,drove,shall,ran,i'm,,,,,,total,,,counc*,,,,bonus*,darlin*,despair*,unpleasant,hatred,suffer,bet,found,produc*,,might,wholly,restrict*,,,hands,,,advil,guts,hornie*,gland*,sex*,sandwich*,meantime,front,in,first,dissertat*,lazie*,golf*,shower*,inexpens*,morals,,,,
didn't,we'd,,,,,,,,,eaten,shant,said,is,,,,,,tripl*,,,couns*,,,,bore*,dear*,desperat*,unprotected,heartless*,suffered,bets,grasp*,provoc*,,mightve,,retain*,,,hard,,,aids,gynecolog*,horny,glaucoma,slut*,servings,meanwhile,go,inch*,firstly,dividend*,lazy,guitar*,sofa*,inherit*,mormon*,,,,
difference*,we'll,,,,,,,,,emailed,shan't,sat,isnt,,,,,,unique,,,cousin*,,,,boring,definite,despis*,unsavo*,hell,sufferer*,betting,idea,provok*,,might've,,rigid*,,,harde*,,,alcohol*,gyno*,intestin*,gynecolog**,std*,skinni*,meter*,goes,inner*,firsts,doctor*,lead*,gym*,stove*,insurance,mosque*,,,,
do,we're,,,,,,,,,ended,she'd,saw,isn't,,,,,,various,,,coworker*,,,,bother*,definitely,destroy*,unsuccessful*,hellish,suffering,binding,ideas,purpose*,,most,,safe*,,,harmon*,,,alive,hair*,itch*,gyno*,stud,skinny*,metre*,going,inside,followup*,dorm*,lesson*,hangin*,studio,invest*,muhamm*,,,,
does,weve,,,,,,,,,entered,she'll,seemed,it's,,,,,,version*,,,crowd*,,,,brave*,delectabl*,destruct*,unsure*,hostil*,suffers,blatant*,identif*,rational*,,mostly,,secur*,,,hear,,,allerg*,hallucinat*,jaw*,hallucinat*,syphili*,smok*,mid,gone,insides,forever,dotcom,limit*,hangout*,studios,IRS,mujahid*,,,,
doesnt,we've,,,,,,,,,explain,shes,seen,ive,,,,,,whole,,,cultur*,,,,bright*,delicate*,devastat*,unwelcom*,humiliat*,tears,block,imagin*,react*,,myster*,,stiff*,,,heard,,,amput*,hamstring*,joints,hangover*,tit,snack*,middl*,grew,interior*,former*,downsiz*,lose,hik*,sweep*,jackpot*,musl*,,,,
doesn't,what,,,,,,,,,explained,she's,sensed,I've,,,,,,worst,,,dad*,,,,brillian*,delicious*,devil*,upset*,idiot*,traged*,blocked,induc*,reason*,,nearly,,stop,,,hearing,,,anal,hand,kidney*,headache*,tits,soda*,mile*,grow,internal*,forward*,dropout*,loser*,hiphop,tenant*,kopek*,nun,,,,
doing,whatever,,,,,,,,,explains,should,sent,keep,,,,,,,,,dating,,,,broke,deligh*,difficult*,uptight*,insult*,tragic* ,blocker*,infer,response,,obscur*,,stopped,,,hears,,,ankle*,hands,knee*,heal,titties,starve*,min,growing,internation*,frequent,duti*,loses,hobb*,toaster*,kron*,nuns,,,,
done,whats,,,,,,,,,fed,shouldnt,shared,keeps,,,,,,,,,daughter*,,,,brutal*,determina*,disadvantage*,useless* ,interrup*,unhapp*,blocking,inferr*,result*,,occasional*,,stopper*,,,heavie*,,,anorexi*,hangover*,knuckle*,healed,titty,starving,minute*,grown,intersect*,frequented,duty,losing,hockey*,vacuum*,lease*,orthodox*,,,,
dont,what's,,,,,,,,,feel,should'nt,shouldve,know,,,,,,,,,deal,,,,burden*,determined,disagree*,vain,intimidat*,unimportant,blocks,infers,root*,,often,,stopping,,,heavy*,,,antacid*,head,leg,healer*,vagina*,stuffed,modern*,growth,into,frequenting,earn*,loss*,holiday*,window*,leasing*,pagan*,,,,
don't,which,,,,,,,,,feels,shouldn't,should've,knows,,,,,,,,,describe,,,,calm*,devot*,disappoint*,vanity,jealous*,unsuccessful*,blur*,info,since,,opinion,,stops,,,honey,,,antidepressant*,headache*,legs*,healing,vd,sugar*,moment*,hang,kilometer*,frequently,econ*,lost,horseback,yard,lira,paradise,,,,
doubl*,whichever,,,,,,,,,felt,shouldve,showed,lets,,,,,,,,,described,,,,care,digni*,disaster*,vicious*,jerk,useless* ,borderline*,inform,solution*,,option,,stubborn*,,,hot,,,anus*,heads,lip,heals,virgin*,supper*,monday*,headed,km*,frequents,edit*,master,hotel*,,loan*,passover,,,,
down,who,,,,,,,,,fled,should've,slept,let's,,,,,,,,,describes,,,,cared,divin*,discomfort*,victim*,jerked,weep*,boss*,information,solve,,or,,subdue*,,,hott*,,,appendic*,heal,lips*,health*,whore*,swallow*,month*,heading,land,Friday*,educat*,mastered,hunting,,lotter*,pastor*,,,,
dozen*,whod,,,,,,,,,flew,thatd,sold,listen,,,,,,,,,describing,,,,carefree,dynam*,discourag*,vile,jerks,wept,both,informative*,solved,,overall,,suppress*,,,hush*,,,appendix,healed,liver*,heartburn*,womb*,tast*,morning*,hik*,large*,futur*,elementary,masterful*,inn,,mastercard*,penance,,,,
during,who'd,,,,,,,,,follow,that'd,spent,listens,,,,,,,,,disclo*,,,,careful*,eager*,disgust*,villain*,kill*,whine*,bound*,informed,solves,,partly,,taboo*,,,image*,,,appeti*,healer*,lung*,hemor*,,tea,motion*,increas*,ledge*,generation*,employ*,mastering,inns,,merchant*,pentecost*,,,,
each,wholl,,,,,,,,,followed,thatll,spoke*,look,,,,,,,,,discuss*,,,,careless*,ease*,dishearten*,violat*,liar*,whining,brake*,informing,solving,,perhaps,,tidi*,,,inaudibl*,,,arch,healing,mouth*,herpes,,thirst*,move,jog*,ledging,happening,esl,mastermind*,intramural*,,money*,pew,,,,
eight*,who'll,,,,,,,,,follows,that'll,started,looks,,,,,,,,,divorc*,,,,cares,easie*,disillusion*,violent*,lied,woe*,bridle*,informs,source*,,possib*,,tidy,,,inhal*,,,arm,heals,mucous*,hiccup*,,veget*,moved,journey*,left,histor*,exam,masters,ipod*,,monopol*,pews,,,,
either,whom,,,,,,,,,forgot*,thats,stayed,love,,,,,,,,,email,,,,caring,easily,dislike,vulnerab*,lies,worthless* ,but,inquir*,stimul*,,practically,,tight*,,,leather*,,,armpit*,health*,muscle*,hiv,,veggie*,movement*,jump*,level,hour*,exams,mastery,jazz*,,mortg*,piety,,,,
eleven,whose,,,,,,,,,fought,that's,stood,loves,,,,,,,,,email'*,,,,casual,easiness,disliked,vulture*,lous*,yearn*,came,insight*,therefor*,,pretty,,uptight*,,,lick*,,,arms*,heart,muscular,hormone*,,waist*,mover*,lead*,levels,hurrie*,excel*,medal*,jog*,,nickel*,pilgrim*,,,,
else,ya,,,,,,,,,found,theres,stopped,make,,,,,,,,,emailed,,,,casually,easing,dislikes,war,ludicrous*,,careful*,inspir*,thus,,probable,,veto,,,light,,,arous*,heartburn*,naked,hospital*,,water,moves,leave,littl*,hurry*,executive*,mediocr*,joke*,,overpaid,pious,,,,
enough,yall,,,,,,,,,fuck,there's,stuck,makes,,,,,,,,,emailer*,,,,certain*,easy*,disliking,warfare*,lying,,categor*,interpret*,trigger*,,probablistic*,,wait,,,limp*,,,arse,hearts,nasal,hungover,,weigh ,moving,leaves,local*,immediate,expel*,motiv*,joking,,overtime,pope*,,,,
entire*,y'all,,,,,,,,,fucked*,theyd,studied,mean,,,,,,,,,emailing,,,,challeng*,ecsta*,dismay*,warred,mad,,caus*,justif*,use,,probably,,waited,,,listen,,,arses,heel*,neck,hyperten*,,weighed,narrow*,leaving,longitud*,immediately,expulsion*,obtain*,karaoke,,owe ,prais*,,,,
equal*,ye,,,,,,,,,fucks,they'd,sucked,means,,,,,,,,,emails,,,,champ*,efficien*,dissatisf*,warring,maddening,,caut*,knew,used,,puzzl*,,waiting,,,listened,,,arter*,helpings,nerve*,hypotherm*,,weighing*,nation*,led,low*,immediateness,factories,opportun*,keg,,owed,pray*,,,,
especially,you,,,,,,,,,gave,theyll,suffered,miss,,,,,,,,,encourag*,,,,charit*,elegan*,distract*,wars,madder,,cease*,know,uses,,question*,,waits,,,listener*,,,arthr*,hemor*,neural*,ibuprofen,,weighs,near,motion*,map,immortal*,factory,organiz*,kegger,,owes,preach*,,,,
etc,youd,,,,,,,,,get,they'll,supported,misses,,,,,,,,,enemie*,,,,charm*,encourag*,distraught,weak*,maddest,,ceasing,knowab*,using,,quite,,wariness,,,listening,,,asleep,herpes,neuron*,ICU,,weight,neared,move,mapped,inciden*,facult*,originat*,keggers,,owing,presbyterian*,,,,
even,you'd,,,,,,,,,gets,theyre,supposed,need,,,,,,,,,enemy*,,,,cheat*,energ*,distress*,weapon*,maniac*,,certain*,knower*,why,,random*,,wary,,,listens,,,aspirin*,hiccup*,nipple*,ill,,whiskey*,nearer,moved,mapping,infinit*,fail*,outcome*,kegs,,paid,priest*,,,,
eventually,youll,,,,,,,,,give,they're,taken,needs,,,,,,,,,everybod*,,,,cheer*,engag*,distrust*,weep*,mock,,chance,knowing,,,seem,,withheld,,,lit,,,ass,hip,nose*,illness*,,whisky*,nearest,movement*,maps,initial*,fax*,overcome,laidback,,pay*,prophe*,,,,
ever,you'll,,,,,,,,,given,theyve,talked,owe,,,,,,,,,everyone*,,,,cherish*,enjoy*,disturb*,weird*,mocked,,change,knowledg*,,,seemed,,withhold*,,,look,,,asses,hips,nostril*,immun*,,wine,nearing,mover*,mass,initiat*,feedback,overconfiden*,liquor*,,pence,protestant*,,,,
every,your ,,,,,,,,,gives,they've,taught,owes,,,,,,,,,everything*,,,,chuckl*,entertain*,domina*,wept,mocker*,,changed,known,,,seeming*,,yield*,,,looked,,,asthma*,hiv,nude*,indigestion,,wines,nears,moves,meter*,instan*,finaliz*,overtak*,magazine*,,pennies,psalm*,,,,
everybod*,youre,,,,,,,,,go,was,tended,see,,,,,,,,,ex,,,,clever*,enthus*,doom*,whine*,mocking,,changes,knows,,,seems,,,,,looker*,,,ate,ho,nudi*,infect*,,above,never,moving,metre*,interval*,finals,perfect*,mall,,penny,purgator*,,,,
everyone*,you're,,,,,,,,,goes,wasnt,thanked,seem,,,,,,,,,exbf*,,,,comed*,excel*,dork*,whining,mocks,,changing,learn*,,,shaki*,,,,,looking,,,bake*,homo,orgasm*,inflam*,,abrupt*,new,pass,mid,january,financ*,perform*,malls,,peso,puritan*,,,,
everything*,yours,,,,,,,,,gone,wasn't,thought,seems,,,,,,,,,exboyfriend*,,,,comfort*,excit*,doubt*,whore*,molest*,,choice*,lesson*,,,shaky,,,,,looks,,,baking,homos,ovar*,ingest*,,across,newer,passed,middl*,july,fired,persever*,marathon*,,pesos,quran*,,,,
example*,youve,,,,,,,,,gonna,we'd,threw,sees,,,,,,,,,excus*,,,,commitment*,fab,dread*,wicked*,moron*,,choos*,link*,,,some,,,,,loose*,,,bald,homosexual*,palm,injur*,,act,newest,passes,mile*,june,firing,persist*,margarita*,,poor*,qur'an*,,,,
except,you've,,,,,,,,,got,we'll,told,shes,,,,,,,,,exes,,,,compassion*,fabulous*,dull*,wimp*,murder*,,clarif*,logic*,,,somebod*,,,,,loud*,,,bandage*,hormone*,palms,insomnia*,,action*,newly,passing,narrow*,last*,franchis*,plan,martini*,,portfolio*,rabbi,,,,
extenet,,,,,,,,,,gotta,were,took,she's,,,,,,,,,exgf*,,,,complain*,faith*,dumb*,witch,nag*,,clear,mean,,,somehow,,,,,mint*,,,bandaid,hornie*,pee,insulin,,advanc*,next,pull*,nation*,late,frat,planned,meditat*,,poverty*,rabbinical,,,,
extra,,,,,,,,,,gotten,weren't,tried,start,,,,,,,,,exgirl*,,,,compliment*,fantastic*,dump*,woe*,nast*,,clearly,meaning*,,,someone*,,,,,musi*,,,bar,horny,pelvi*,intox*,,after,night,push*,near,lately,fratern*,planner*,minesweeper,,price*,rabbis,,,,
extremely,,,,,,,,,,guess,weve,turned,starts,,,,,,,,,exhubby*,,,,concerned,favor*,dwell*,worr*,obnoxious*,,close,means,,,something*,,,,,nasal,,,bars,hospital*,penis*,itch*,,afterlife*,nightly,put,neared,later,freshm*,planning,motel*,,prici*,ramadan,,,,
fairly,,,,,,,,,,guessed,we've,understood,suck,,,,,,,,,exhusband*,,,,confidence,favour*,egotis*,worse*,offence*,,closure,meant,,,sometime,,,,,noise,,,beer*,hug,perspir*,iv,,aftermath*,nights,puts,nearer,latest,gmat,plans,movie*,,profit*,religio*,,,,
few*,,,,,,,,,,guesses,whats,used,sucks,,,,,,,,,explain,,,,confident,fearless*,embarrass*,worst,offend*,,cohere*,memor*,,,sometimes,,,,,noises,,,bellies,hugg*,piss*,leuke*,,afternoon*,noon*,putting,nearest,like,goal*,potential*,mtv*,,purchas*,rite,,,,
fift*,,,,,,,,,,had,what's,viewed,support,,,,,,,,,explained,,,,confidently,festiv*,emotional,worthless* ,offens*,,come,misunder*,,,somewhat,,,,,noisy,,,belly,hugs,poop*,life,,afterthought*,north*,ran,nearing,long,gov,power*,museum*,,rebate*,rites,,,,
first,,,,,,,,,,hadnt,wheres,waited,supports,,,,,,,,,explaining,,,,confront*,fiesta*,empt*,wrong*,outrag*,,commit,motiv*,,,sort,,,,,nose*,,,bi,hump*,prick*,living,,afterward*,november,receiv*,nears,longe*,govern*,practice,musi*,,recession*,ritual*,,,,
firstly,,,,,,,,,,hadn't,where's,walked,suppose,,,,,,,,,explains,,,,confus*,fine,enemie*,yearn*,paranoi*,,commitment*,notice*,,,sorta,,,,,nostril*,,,bicep*,hunger*,prostat*,lozenge*,,again,now,remov*,north*,march*,gpa,prais*,nap,,refund*,rosaries,,,,
firsts,,,,,,,,,,happen,whod,wanted,supposes,,,,,,,,,express*,,,,considerate,flatter*,enemy*,afraid,pettie*,,commits,noticing,,,sortof,,,,,odor*,,,binge*,hungover,pulse,lump,,age,nowhere,replace*,nowhere,meantime,grad,presiden*,naps,,reimburs*,rosary,,,,
five,,,,,,,,,,happened,who'd,was,take,,,,,,,,,exwife*,,,,contempt*,flawless*,enrag*,alarm*,petty*,,committ*,perceiv*,,,sorts,,,,,odour*,,,binging,hungr*,pussies,lymph*,,aged,occasional*,replacing,off,meanwhile,grade*,pride,netflix,,rent*,roshashan*,,,,
for,,,,,,,,,,happens,wholl,wasnt,takes,,,,,,,,,exwive*,,,,contented*,flexib*,envie*,anguish*,piss*,,compel*,percept*,,,sortsa,,,,,oil*,,,bipolar,hyperten*,pussy*,mammogram,,ages,oclock*,ridden,on,min,grading,prize*,nintendo*,,retail*,sabbath*,,,,
form,,,,,,,,,,has,who'll,wasn't,taking,,,,,,,,,families*,,,,contentment,flirt*,envious,anxi*,poison*,,complete,ponder*,,,spose,,,,,orange*,,,bladder*,hypotherm*,rash*,manicdep*,,aging,o'clock*,ride,onto,minute*,graduat*,produc*,novel,,revenue*,sacred,,,,
four*,,,,,,,,,,hasnt,will,went,tend,,,,,,,,,family,,,,contradic*,fond,envy*,apprehens*,prejudic*,,completed,prefer*,,,suppose,,,,,palatabl*,,,bleed*,ibuprofen,retina*,medic*,,ago,october,rides,open,modern*,gre,proficien*,novels,,rich*,sacrific*,,,,
frequently,,,,,,,,,,hasn't,wont,were,tends,,,,,,,,,father*,,,,convinc*,fondly,evil*,asham*,prick*,,completely,presum*,,,supposed,,,,,perfum*,,,blind*,ICU,rib,migrain*,,ahead,off,riding,opened,moment*,hardwork*,progress,opera*,,ruble*,saint*,,,,
from,,,,,,,,,,hate,won't,weren't,thank,,,,,,,,,fellow*,,,,cool,fondness,excruciat*,aversi*,protest,,completes,prove*,,,supposes,,,,,picture,,,blood,ill,ribs,miscar*,,air,old,rise*,opening*,monday*,headhunter*,promot*,orchestra,,rupee*,salvation,,,,
full*,,,,,,,,,,hated,would,weve,thanks,,,,,,,,,female*,,,,courag*,forgave,exhaust*,avoid*,protested,,complex*,proving,,,supposing,,,,,pink*,,,bloody,illness*,saliv*,mono,,already,olden,rising,out,month*,highschool*,proud*,parks,,salar*,satan*,,,,
generally,,,,,,,,,,hates,wouldnt,we've,thats,,,,,,,,,feud*,,,,crap,forgiv*,fail*,awkward*,protesting,,compliance,quer*,,,supposition*,,,,,press,,,bodi*,immun*,scalp,mri ,,always,older,rode,outer*,morning*,hire*,purpose*,partie*,,sale,scriptur*,,,,
greater,,,,,,,,,,have,wouldn't,wished,that's,,,,,,,,,fiance*,,,,crappy,free,fake,confus*,punish*,,complica*,question*,,,tempora*,,,,,pressed,,,body*,incest*,sensation,myopi*,,among*,oldest,run,outside,never,hiring,queen,party*,,sales,sect,,,,
greatest,,,,,,,,,,havent,wouldve,woke,theres,,,,,,,,,fight*,,,,craz*,free*,fatal*,craz*,rage*,,complie*,rational*,,,tentativ*,,,,,presser*,,,boil*,indigestion,sensations,nause*,,ancient*,on,runner*,outsides,new,homework*,queenly,pitcher*,,saving*,sectarian,,,,
had,,,,,,,,,,haven't,would've,woken,there's,,,,,,,,,flatter*,,,,create*,freeb*,fatigu*,desperat*,raging,,comply*,realiz*,,,theor*,,,,,presses,,,bone,infect*,shirt*,nearsighted,,annual*,once,running,outward*,newer,inc,quit,play,,scholarship*,sects,,,,
hadnt,,,,,,,,,,having,youd,won,theyre,,,,,,,,,folks,,,,creati*,freed*,fault*,discomfort*,rape*,,compreh*,rearrang*,,,typically,,,,,pungen*,,,boner*,inflam*,shit*,neurolog*,,anymore,onto,runs,over,newest,income*,quitt*,played,,sell,seminar*,,,,
hadn't,,,,,,,,,,hear,you'd,wondered,they're,,,,,,,,,forgave,,,,credit*,freeing,fear,distract*,raping,,compulsiv*,reason*,,,uncertain*,,,,,purpl*,,,bones,ingest*,shoe*,numb*,,anytime,open,rush*,overflow*,newly,incorp*,rank,playful*,,seller*,shi'*,,,,
half,,,,,,,,,,heard,youll,wore,theyve,,,,,,,,,forgiv*,,,,cried,freely,feared,distraught,rapist*,,concentrat*,recall*,,,unclear*,,,,,quiet*,,,bony,injur*,shoulder*,nurse*,,anywhere,opened,send*,overlap*,next,industr*,ranked,playing,,selling,shiite*,,,,
has,,,,,,,,,,hears,you'll,worked,they've,,,,,,,,,fought,,,,cries,freeness,fearful*,distress*,rebel*,,conclud*,reckon*,,,undecided*,,,,,rancid*,,,boob*,insomnia*,skelet*,nutrition*,,apart,opening*,sent,place*,night,instruct*,ranking,plays,,sells,shrine*,,,,
